(.venv) andre@Mac MLproject % python3 -m scripts.run_monk

🚀 Avvio Grid Search...
Config 366/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2347
Config 367/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2344
Config 368/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2318
Config 369/864 | Val Accuracy: 0.6765 | Tr MSE: 0.2322
Config 370/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2086
Config 371/864 | Val Accuracy: 0.6471 | Tr MSE: 0.1951
Config 372/864 | Val Accuracy: 0.7647 | Tr MSE: 0.1399
Config 373/864 | Val Accuracy: 0.6471 | Tr MSE: 0.1667
Config 374/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0034
Config 375/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0006
Config 376/864 | Val Accuracy: 0.6471 | Tr MSE: 0.1558
Config 377/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0178
Config 378/864 | Val Accuracy: 1.0000 | Tr MSE: 0.0004
Config 379/864 | Val Accuracy: 0.6176 | Tr MSE: 0.2342
Config 380/864 | Val Accuracy: 0.6471 | Tr MSE: 0.2315
