(.venv) andre@Mac MLproject % python3 -m scripts.run_monk

🚀 Avvio Grid Search...
Config 303/864 | Val Accuracy: 0.9583 | Tr MSE: 0.0359
Config 304/864 | Val Accuracy: 0.8750 | Tr MSE: 0.0588
Config 305/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0606
Config 306/864 | Val Accuracy: 0.8750 | Tr MSE: 0.0890
Config 307/864 | Val Accuracy: 0.7500 | Tr MSE: 0.2300
Config 308/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1257
Config 309/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1139
Config 310/864 | Val Accuracy: 0.7917 | Tr MSE: 0.1719
Config 311/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1254
Config 312/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1037
Config 313/864 | Val Accuracy: 0.5417 | Tr MSE: 0.2067
Config 314/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1276
Config 315/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1074
Config 316/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2443
Config 317/864 | Val Accuracy: 0.7917 | Tr MSE: 0.1768
Config 318/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1214
Config 319/864 | Val Accuracy: 0.7500 | Tr MSE: 0.2298
Config 320/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1511
Config 321/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1142
Config 322/864 | Val Accuracy: 0.6667 | Tr MSE: 0.2018
Config 323/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1447
Config 324/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1115
Config 325/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2737
Config 326/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2519
Config 327/864 | Val Accuracy: 0.7083 | Tr MSE: 0.2272
Config 328/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2548
Config 329/864 | Val Accuracy: 0.7083 | Tr MSE: 0.2277
Config 330/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1569
Config 331/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2469
Config 332/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2398
Config 333/864 | Val Accuracy: 0.6667 | Tr MSE: 0.2097
Config 334/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1140
Config 335/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0724
Config 336/864 | Val Accuracy: 0.9583 | Tr MSE: 0.0374
Config 337/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1001
Config 338/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0569
Config 339/864 | Val Accuracy: 0.9583 | Tr MSE: 0.0369
Config 340/864 | Val Accuracy: 0.9583 | Tr MSE: 0.0518
Config 341/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0563
Config 342/864 | Val Accuracy: 0.9583 | Tr MSE: 0.0343
Config 343/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2531
Config 344/864 | Val Accuracy: 0.7917 | Tr MSE: 0.2236
Config 345/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1201
Config 346/864 | Val Accuracy: 0.6667 | Tr MSE: 0.2247
Config 347/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1554
Config 348/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1195
Config 349/864 | Val Accuracy: 0.7500 | Tr MSE: 0.1989
Config 350/864 | Val Accuracy: 0.7917 | Tr MSE: 0.1896
Config 351/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1107
Config 352/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2782
Config 353/864 | Val Accuracy: 0.6250 | Tr MSE: 0.2480
Config 354/864 | Val Accuracy: 0.7083 | Tr MSE: 0.1774
Config 355/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2572
Config 356/864 | Val Accuracy: 0.7083 | Tr MSE: 0.2290
Config 357/864 | Val Accuracy: 0.8333 | Tr MSE: 0.1428
Config 358/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2306
Config 359/864 | Val Accuracy: 0.7917 | Tr MSE: 0.2138
Config 360/864 | Val Accuracy: 0.8333 | Tr MSE: 0.1662
Config 361/864 | Val Accuracy: 0.5000 | Tr MSE: 0.3130
Config 362/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2528
Config 363/864 | Val Accuracy: 0.6667 | Tr MSE: 0.2413
Config 364/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2514
Config 365/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2541
Config 366/864 | Val Accuracy: 0.6667 | Tr MSE: 0.2338
Config 367/864 | Val Accuracy: 0.5000 | Tr MSE: 0.2584
Config 368/864 | Val Accuracy: 0.5833 | Tr MSE: 0.2464
Config 369/864 | Val Accuracy: 0.7500 | Tr MSE: 0.2292
Config 370/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1209
Config 371/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1151
Config 372/864 | Val Accuracy: 0.9583 | Tr MSE: 0.0374
Config 373/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1213
Config 374/864 | Val Accuracy: 0.8750 | Tr MSE: 0.0975
Config 375/864 | Val Accuracy: 0.8750 | Tr MSE: 0.0981
Config 376/864 | Val Accuracy: 0.8750 | Tr MSE: 0.1141
Config 377/864 | Val Accuracy: 0.8750 | Tr MSE: 0.0924
Config 378/864 | Val Accuracy: 0.9167 | Tr MSE: 0.0607
Config 379/864 | Val Accuracy: 0.5417 | Tr MSE: 0.2527
